app,category,scenario,actions,targets
a11,Browser,b11,0,0.0
a11,Browser,b11,1,1.0
a11,Browser,b12,0,0.0
a11,Browser,b12,1,1.0
a11,Browser,b12,3,2.0
a13,Browser,b11,0,0.0
a13,Browser,b11,1,1.0
a13,Browser,b12,0,0.0
a13,Browser,b12,1,1.0
a13,Browser,b12,2,1.2
a13,Browser,b12,5,2.4
a13,Browser,b12,9,3.0
a14,Browser,b11,0,0.0
a14,Browser,b11,1,1.0
a14,Browser,b12,0,0.0
a14,Browser,b12,1,1.8
a14,Browser,b12,26,2.0
a15,Browser,b11,0,0.0
a15,Browser,b11,6,1.0
a15,Browser,b11,7,2.0
a15,Browser,b12,0,0.0
a15,Browser,b12,1,1.0
a15,Browser,b12,2,2.0
a15,Browser,b12,25,5.0
a15,Browser,b12,36,5.333333333333333
a15,Browser,b12,6,3.0
a15,Browser,b12,7,4.0
a21,To Do List,b21,0,0.0
a21,To Do List,b21,1,1.0
a21,To Do List,b21,2,2.0
a21,To Do List,b21,3,3.0
a21,To Do List,b22,0,0.0
a21,To Do List,b22,1,1.0
a21,To Do List,b22,2,2.0
a21,To Do List,b22,3,3.0
a21,To Do List,b22,4,4.0
a22,To Do List,b21,0,0.0
a22,To Do List,b21,1,1.0
a22,To Do List,b21,2,2.0
a22,To Do List,b21,3,3.0
a22,To Do List,b22,0,0.0
a22,To Do List,b22,1,1.0
a22,To Do List,b22,2,2.0
a22,To Do List,b22,3,3.0
a22,To Do List,b22,4,4.0
a22,To Do List,b22,6,5.0
a23,To Do List,b21,0,0.0
a23,To Do List,b21,1,1.0
a23,To Do List,b21,2,1.8888888888888888
a23,To Do List,b21,4,2.7777777777777777
a23,To Do List,b21,5,3.6666666666666665
a23,To Do List,b21,7,3.7777777777777777
a23,To Do List,b21,8,3.888888888888889
a23,To Do List,b22,0,0.0
a23,To Do List,b22,1,1.0
a23,To Do List,b22,2,1.8888888888888888
a23,To Do List,b22,4,2.7777777777777777
a23,To Do List,b22,5,3.6666666666666665
a23,To Do List,b22,6,4.555555555555555
a23,To Do List,b22,7,5.555555555555555
a23,To Do List,b22,8,5.666666666666667
