app,category,scenario,simT,precision,recall
a15,Browser,b11,0.30,28.57,100.00
a15,Browser,b11,0.30,28.57,100.00
a15,Browser,b11,0.30,28.57,100.00
a15,Browser,b11,0.30,28.57,100.00
a15,Browser,b11,0.30,28.57,100.00
a15,Browser,b11,0.30,28.57,100.00
a15,Browser,b11,0.30,28.57,100.00
a15,Browser,b11,0.30,28.57,100.00
a15,Browser,b11,0.30,28.57,100.00
a15,Browser,b11,0.30,28.57,100.00
a11,Browser,b11,0.30,100.00,100.00
a11,Browser,b11,0.30,100.00,100.00
a11,Browser,b11,0.30,100.00,100.00
a11,Browser,b11,0.30,100.00,100.00
a11,Browser,b11,0.30,100.00,100.00
a11,Browser,b11,0.30,100.00,100.00
a11,Browser,b11,0.30,100.00,100.00
a11,Browser,b11,0.30,100.00,100.00
a11,Browser,b11,0.30,100.00,100.00
a11,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a14,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a13,Browser,b11,0.30,100.00,100.00
a15,Browser,b11,0.20,28.57,100.00
a15,Browser,b11,0.20,28.57,100.00
a15,Browser,b11,0.20,28.57,100.00
a15,Browser,b11,0.20,28.57,100.00
a15,Browser,b11,0.20,28.57,100.00
a15,Browser,b11,0.20,28.57,100.00
a15,Browser,b11,0.20,28.57,100.00
a15,Browser,b11,0.20,28.57,100.00
a15,Browser,b11,0.20,28.57,100.00
a11,Browser,b11,0.20,100.00,100.00
a11,Browser,b11,0.20,100.00,100.00
a11,Browser,b11,0.20,100.00,100.00
a11,Browser,b11,0.20,100.00,100.00
a11,Browser,b11,0.20,100.00,100.00
a11,Browser,b11,0.20,100.00,100.00
a11,Browser,b11,0.20,100.00,100.00
a11,Browser,b11,0.20,100.00,100.00
a11,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a14,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a13,Browser,b11,0.20,100.00,100.00
a15,Browser,b11,0.25,28.57,100.00
a15,Browser,b11,0.25,28.57,100.00
a15,Browser,b11,0.25,28.57,100.00
a15,Browser,b11,0.25,28.57,100.00
a11,Browser,b11,0.25,100.00,100.00
a11,Browser,b11,0.25,100.00,100.00
a11,Browser,b11,0.25,100.00,100.00
a11,Browser,b11,0.25,100.00,100.00
a14,Browser,b11,0.25,100.00,100.00
a14,Browser,b11,0.25,100.00,100.00
a14,Browser,b11,0.25,100.00,100.00
a14,Browser,b11,0.25,100.00,100.00
a13,Browser,b11,0.25,100.00,100.00
a13,Browser,b11,0.25,100.00,100.00
a13,Browser,b11,0.25,100.00,100.00
a13,Browser,b11,0.25,100.00,100.00
a15,Browser,b11,0.10,28.57,100.00
a15,Browser,b11,0.10,28.57,100.00
a15,Browser,b11,0.10,28.57,100.00
a15,Browser,b11,0.10,28.57,100.00
a15,Browser,b11,0.10,28.57,100.00
a15,Browser,b11,0.10,28.57,100.00
a11,Browser,b11,0.10,100.00,100.00
a11,Browser,b11,0.10,100.00,100.00
a11,Browser,b11,0.10,100.00,100.00
a11,Browser,b11,0.10,100.00,100.00
a11,Browser,b11,0.10,100.00,100.00
a11,Browser,b11,0.10,100.00,100.00
a11,Browser,b11,0.10,100.00,100.00
a14,Browser,b11,0.10,100.00,100.00
a14,Browser,b11,0.10,100.00,100.00
a14,Browser,b11,0.10,100.00,100.00
a14,Browser,b11,0.10,100.00,100.00
a14,Browser,b11,0.10,100.00,100.00
a14,Browser,b11,0.10,100.00,100.00
a13,Browser,b11,0.10,100.00,100.00
a13,Browser,b11,0.10,100.00,100.00
a13,Browser,b11,0.10,100.00,100.00
a13,Browser,b11,0.10,100.00,100.00
a13,Browser,b11,0.10,0,0
a13,Browser,b11,0.10,100.00,100.00
a13,Browser,b11,0.10,100.00,100.00
a15,Browser,b11,0.15,28.57,100.00
a15,Browser,b11,0.15,28.57,100.00
a15,Browser,b11,0.15,28.57,100.00
a15,Browser,b11,0.15,28.57,100.00
a15,Browser,b11,0.15,28.57,100.00
a15,Browser,b11,0.15,28.57,100.00
a15,Browser,b11,0.15,28.57,100.00
a15,Browser,b11,0.15,28.57,100.00
a15,Browser,b11,0.15,28.57,100.00
a15,Browser,b11,0.15,28.57,100.00
a11,Browser,b11,0.15,100.00,100.00
a11,Browser,b11,0.15,100.00,100.00
a11,Browser,b11,0.15,100.00,100.00
a11,Browser,b11,0.15,100.00,100.00
a11,Browser,b11,0.15,100.00,100.00
a11,Browser,b11,0.15,100.00,100.00
a11,Browser,b11,0.15,100.00,100.00
a11,Browser,b11,0.15,100.00,100.00
a11,Browser,b11,0.15,100.00,100.00
a11,Browser,b11,0.15,100.00,100.00
a14,Browser,b11,0.15,100.00,100.00
a14,Browser,b11,0.15,100.00,100.00
